source_frame_index,track_id,team,team_confidence,broadcast_foot_x,broadcast_foot_y,canonical_rink_x,canonical_rink_y,registration_status,registration_confidence,reference_frame_index
0,1,devils,0.7552451863767242,300.5,503.0,238.69455399400124,603.6842343072426,ok,0.9815293531891353,0
0,2,flyers,0.663798880742309,349.5,637.0,294.29510742688103,770.434649461412,ok,0.9815293531891353,0
0,3,flyers,0.5193614701371182,759.5,428.0,371.2923777573759,453.5587856666604,ok,0.9815293531891353,0
0,5,devils,0.6294471823956937,1180.5,599.0,565.8373248835344,646.5993064572826,ok,0.9815293531891353,0
0,6,flyers,0.5741112598958709,566.5,532.0,335.1757154077314,616.3173459168981,ok,0.9815293531891353,0
0,8,devils,0.7742275312180212,461.5,430.0,269.459276914172,488.9066810177239,ok,0.9815293531891353,0
0,11,devils,0.606768345784126,530.5,504.0,314.96211667800077,582.5074885638016,ok,0.9815293531891353,0
1,2,flyers,0.663798880742309,362.5,644.0,298.51267485461204,777.8008577702375,ok,0.9392742530312109,0
1,1,devils,0.7552451863767242,307.5,507.0,240.4259114864875,608.7855471364024,ok,0.9392742530312109,0
1,3,flyers,0.5193614701371182,758.5,428.0,368.4461133099626,453.4154594431953,ok,0.9392742530312109,0
1,5,devils,0.6294471823956937,1193.0,603.0,567.1826339696411,648.3639696506426,ok,0.9392742530312109,0
1,8,devils,0.7742275312180212,469.5,438.0,272.65591274370564,499.4486262278657,ok,0.9392742530312109,0
1,6,flyers,0.5741112598958709,572.0,537.0,336.23559906996974,622.0924021832684,ok,0.9392742530312109,0
1,11,devils,0.606768345784126,535.0,504.0,314.351208134061,581.990836704067,ok,0.9392742530312109,0
2,8,devils,0.7742275312180212,475.5,437.0,272.6251403326331,497.0219535706545,ok,0.9180261322967953,0
2,2,flyers,0.663798880742309,375.0,646.0,301.63281122204154,778.9378535224357,ok,0.9180261322967953,0
2,3,flyers,0.5193614701371182,756.0,428.0,364.78382355491505,452.8497468400177,ok,0.9180261322967953,0
2,1,devils,0.7552451863767242,336.5,499.0,245.97505457511903,595.2636652090403,ok,0.9180261322967953,0
2,5,devils,0.6294471823956937,1206.0,609.0,567.3911119912095,651.4473477534865,ok,0.9180261322967953,0
2,6,flyers,0.5741112598958709,575.5,546.0,337.9346929547398,632.5586251196206,ok,0.9180261322967953,0
2,11,devils,0.606768345784126,537.0,504.0,313.10762000056445,581.0096911824207,ok,0.9180261322967953,0
2,16,flyers,0.6556543477988075,534.0,356.0,267.12902715303113,376.6691571499631,ok,0.9180261322967953,0
3,8,devils,0.7742275312180212,479.0,438.0,272.78090592793063,498.0011235827984,ok,0.9066222285295742,0
3,2,flyers,0.663798880742309,387.5,651.0,305.75562769832754,783.696005573922,ok,0.9066222285295742,0
3,3,flyers,0.5193614701371182,753.0,427.0,361.95917795875073,451.6916148390245,ok,0.9066222285295742,0
